,keyword,text,lat,long,census,comp,category,CensusTract,LILATracts_1And10
3651,starbucks,"This #Retail job might be a great fit for you. Click the link in our bio to see it and more. shift supervisor - Store# 07828, RIVANNA RIDGE at Starbucks #Charlottesville, VA",38.029028000000004,-78.4439204,51003010500,0.765,fast_food,51003010500,0
3652,starbucks,"Thank you @starbucks @ Kent, Washington ",47.3827,-122.227,53033029203,0.3612,fast_food,53033029203,0
3653,starbucks,"Thank you @starbucks @ Kent, Washington ",47.3827,-122.227,53033029203,0.3612,fast_food,53033029203,0
3654,starbucks,"This #Retail job might be a great fit for you. Click the link in our bio to see it and more. barista - Store# 49513, Freret Street at Starbucks #NewOrleans, LA",29.9352709,-90.1109188,22071011100,0.765,fast_food,22071011100,0
3655,starbucks,"This #Retail job might be a great fit for you. Click the link in our bio to see it and more. barista - Store# 49513, Freret Street at Starbucks #NewOrleans, LA",29.9352709,-90.1109188,22071011100,0.765,fast_food,22071011100,0
3656,starbucks,"Join the Starbucks team! See our latest #Retail job openings, including ""shift supervisor - Store# 20185, 23RD ST &amp; FIRST AVE"", via the link in our bio. #NewYork, NY",40.7364705,-73.9783128,36061006000,0.3595,fast_food,36061006000,0
3657,starbucks,"Join the Starbucks team! See our latest #Retail job openings, including ""shift supervisor - Store# 20185, 23RD ST &amp; FIRST AVE"", via the link in our bio. #NewYork, NY",40.7364705,-73.9783128,36061006000,0.3595,fast_food,36061006000,0
3658,starbucks,"This #Retail job might be a great fit for you. Click the link in our bio to see it and more. barista - Store# 09655, I-35 &amp; SH-152 at Starbucks #Liberty, MO",39.2451079,-94.4499342,29047020801,0.765,fast_food,29047020801,0
3659,starbucks,"This #Retail job might be a great fit for you. Click the link in our bio to see it and more. barista - Store# 09655, I-35 &amp; SH-152 at Starbucks #Liberty, MO",39.245107899999994,-94.4499342,29047020801,0.765,fast_food,29047020801,0
3660,starbucks,"Starbucks is hiring in #MiamiLakes, FL! Read about our latest #Retail job opening via the link in our bio: barista - Store# 27975, 7433 MIAMI LAKES DR - MIAMI LA",25.9110759,-80.31904200000002,12086009313,0.0,fast_food,12086009313,0
3661,starbucks,"Starbucks is hiring in #MiamiLakes, FL! Read about our latest #Retail job opening via the link in our bio: barista - Store# 27975, 7433 MIAMI LAKES DR - MIAMI LA",25.9110759,-80.31904200000001,12086009313,0.0,fast_food,12086009313,0
3662,starbucks,"Looking to score a job at Starbucks? You're in luck. Click the link in our bio for the job description and information on how to apply: shift supervisor - Store# 07387, RTE 7 - CLOCK TOWER/STERLING #Retail #Sterling, VA",39.0166144,-77.3769885,51107611300,0.4588,fast_food,51107611300,0
3663,starbucks,"Looking to score a job at Starbucks? You're in luck. Click the link in our bio for the job description and information on how to apply: shift supervisor - Store# 07387, RTE 7 - CLOCK TOWER/STERLING #Retail #Sterling, VA",39.016614399999995,-77.3769885,51107611300,0.4588,fast_food,51107611300,0
3664,starbucks,"See our latest #FlorhamPark, NJ #Retail job opportunity and click the link in our bio to apply: shift supervisor - Store# 00859, FLORHAM PARK at Starbucks",40.7899517,-74.39303740000003,34027042600,0.4215,fast_food,34027042600,0
3665,starbucks,"See our latest #FlorhamPark, NJ #Retail job opportunity and click the link in our bio to apply: shift supervisor - Store# 00859, FLORHAM PARK at Starbucks",40.7899517,-74.39303740000001,34027042600,0.4215,fast_food,34027042600,0
3666,starbucks,Because #Starbucks needs competition and their coffee is just as good AND they have a fabulous havarti and turkey breakfast bagel AND free shot fridays ,39.22685,-84.25457,39025040404,0.8625,fast_food,39025040404,0
3667,starbucks,Because #Starbucks needs competition and their coffee is just as good AND they have a fabulous havarti and turkey breakfast bagel AND free shot fridays ,39.22685,-84.25457,39025040404,0.8625,fast_food,39025040404,0
3668,starbucks,"Don't be shy. Score a job like ""shift supervisor - Store# 13595, MANASSAS CROSSROADS"" at Starbucks by asking for referrals. It's a great way to get a meeting with HR. Check out the link in our bio to apply. #Retail #Manassas, VA",38.7857501,-77.5164403,51153901403,0.8095,fast_food,51153901403,0
